Datetime,Tweet Id,Text,location,Media,TweetUrl,Hashtags,Retweets Counts,Like Counts
2022-01-12 12:39:40,1481244488622546950,"@AskDrShashank 55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS… https://t.co/G3W4hAGl74",,[],https://twitter.com/user/status/1481244488622546950,Doctor Protest,1,1
2022-01-12 09:52:33,1481202430054387715,"@JackPosobiec @Cernovich Taking the Lord's name in vain at the end under his breath

The demon infested doctor hate… https://t.co/VwtMWGVOBh",Florida Man,[],https://twitter.com/user/status/1481202430054387715,Doctor Protest,0,1
2022-01-12 09:25:02,1481195504734474243,"India lost one more doctor, a bright student, always smiling one rather. This is what government and authority has… https://t.co/uddBDgdxuz",,[],https://twitter.com/user/status/1481195504734474243,Doctor Protest,1,1
2022-01-12 08:08:07,1481176148897935362,Young Doctor association protest  in #Quetta looks bad.,"Islamabad, Pakistan",[],https://twitter.com/user/status/1481176148897935362,Doctor Protest,0,3
2022-01-12 06:35:41,1481152886726094849,#Haryana: Khattar #Govt Invokes #ESMA After #Govt #doctors #Suspend #OPD #work in #protest #DoctorsStrike #Doctor https://t.co/1ZyenlBH24,,[],https://twitter.com/user/status/1481152886726094849,Doctor Protest,0,0
2022-01-12 06:01:24,1481144259604467713,@Tuigim @Doctor_Class @rtenews It doesn't take much to trigger the anti Catholic these days. The date of a holiday… https://t.co/2MrAJ3VGh4,,[],https://twitter.com/user/status/1481144259604467713,Doctor Protest,0,0
2022-01-12 03:39:35,1481108568418000897,@archerd1230 @Swarvester @SethMacFarlane I will give you another example…Since I am high risk…I ask nurses who are… https://t.co/U7c4S12zoG,,[],https://twitter.com/user/status/1481108568418000897,Doctor Protest,0,0
2022-01-12 03:28:12,1481105705361088514,"@doctor_ishh_ @MedicosUnited @MedicosUnited, I came here for protest updates, not dating tips.",Indore/Jaipur/Hyderabad,[],https://twitter.com/user/status/1481105705361088514,Doctor Protest,0,2
2022-01-12 01:37:11,1481077767634841605,@DrDatta_AIIMS @sameeryasir @Banjotkaur @soumya_pillai @rishachitlangia @Anjali_Lhmc @Indian__doctor @KanishkAIIMS… https://t.co/3yeNR62MdO,"Mumbai, India",[],https://twitter.com/user/status/1481077767634841605,Doctor Protest,0,0
2022-01-12 01:33:23,1481076811006189569,"This your reminder that Rand Paul is an Ophthalmologist, not a medical doctor, who was upset that you actually have… https://t.co/SjdO4bWKz0","Portland, OR",[],https://twitter.com/user/status/1481076811006189569,Doctor Protest,0,5
2022-01-12 00:47:07,1481065168306319360,"@Andrew_McMillen @australian #Domicrom &amp; Hazard are politicians &amp; we shouldn’t expect better

Kerry Chant: Professi… https://t.co/3g5oE14j07",,[],https://twitter.com/user/status/1481065168306319360,Doctor Protest,0,0
2022-01-11 22:35:23,1481032015696781312,"HOT MIC FAUCI!
The doctor doth protest too much, methinks.
@RogerMarshallMD 
@TuckerCarlson @IngrahamAngle https://t.co/H1sIjrjofz",THE GREAT STATE OF TEXAS!,['http://pbs.twimg.com/ext_tw_video_thumb/1481030459467481092/pu/img/OJDJ3M7qc2vIVD6J.jpg'],https://twitter.com/user/status/1481032015696781312,Doctor Protest,1,1
2022-01-11 21:43:45,1481019024062431233,@bernard_marc @SanchoTas @StephenPunwasi My unvaccinated husband can. He recovered faster than I did! He didn’t pro… https://t.co/Xf3FztcGY2,,[],https://twitter.com/user/status/1481019024062431233,Doctor Protest,0,0
2022-01-11 21:34:20,1481016650610712580,Crowds of people protest arrest 79-yr-old homeopath who issued fake medical certificates to avoid Covid vax. Line 2… https://t.co/mZq2pkolOQ,,[],https://twitter.com/user/status/1481016650610712580,Doctor Protest,0,3
2022-01-11 19:38:59,1480987623032250374,"@Gigithatgirl @dolphinman47 @ProjectLincoln In ‘99, Paul set up &amp; was ""certified"" by the National Board of Ophthalm… https://t.co/Ax7KIxJIWy",I dont remember,[],https://twitter.com/user/status/1480987623032250374,Doctor Protest,0,15
2022-01-11 18:37:29,1480972146063065090,"Fauci is soooo defensive about everything. The ""doctor"" doth protest too much, methinks. #ExposeFauci #FireFauci… https://t.co/1WFyoIVIfv",S.E. Missouri,[],https://twitter.com/user/status/1480972146063065090,Doctor Protest,0,1
2022-01-11 16:37:40,1480941993475723267,"@atrupar I'll take the word of the REAL doctor over the fake doctor, .@RandPaul 

Paul set up and was ""certified"" b… https://t.co/z3Hcsw768W","Los Angeles, California",[],https://twitter.com/user/status/1480941993475723267,Doctor Protest,0,0
2022-01-11 15:04:25,1480918526751916038,@Indian__doctor @ANI @VCofficeBHU May be ..... It's edited video ..... Aisa mujhe lgta hai becoz of its protest aga… https://t.co/yQOsNh5lS7,"Varanasi, India",[],https://twitter.com/user/status/1480918526751916038,Doctor Protest,0,0
2022-01-11 08:29:08,1480819051014213632,@bandarmoment Yaar pls na he was beefing with me over that doctor's protest wala tweets 🤣🤣🤣,bean town,[],https://twitter.com/user/status/1480819051014213632,Doctor Protest,0,0
2022-01-11 03:05:01,1480737483008716804,"Every American living in poverty is the victim of violence — political violence
Every child who doesn’t get enough… https://t.co/POKisYMbF4",Reality,[],https://twitter.com/user/status/1480737483008716804,Doctor Protest,0,0
2022-01-11 03:03:13,1480737031324160003,"Every American living in poverty is the victim of violence — political violence, indeed. Every child who doesn’t ge… https://t.co/NLHbncGimP",Reality,[],https://twitter.com/user/status/1480737031324160003,Doctor Protest,0,0
2022-01-11 02:13:33,1480724530196742144,@sudhaShenoy1 @mansukhmandviya @NMC_IND @IMAIndiaOrg @jayalal10 @DrJayeshLele @RajanSharmaIMA @docraviw @FordaIndia… https://t.co/0dnOF3Y4ww,,[],https://twitter.com/user/status/1480724530196742144,Doctor Protest,3,3
2022-01-11 02:04:29,1480722249220984832,@sudhaShenoy1 @Indian__doctor @PMOIndia @narendramodi @AmitShah @rajnathsingh @nitin_gadkari @myogiadityanath… https://t.co/ZkSI3tbctO,,[],https://twitter.com/user/status/1480722249220984832,Doctor Protest,0,0
2022-01-11 00:35:54,1480699955891388417,"What petit dictator #Macron actually said was ""emmerde"" 
which translates to 
""bury in shit"" far worse than what hi… https://t.co/vsabjESpx6","Dublin City, Ireland",[],https://twitter.com/user/status/1480699955891388417,Doctor Protest,0,0
2022-01-10 23:05:10,1480677122867974148,@ColorsTV @BiggBoss @BeingSalmanKhan Nobody wants to watch this fixed and biased show anymore - you kicked out the… https://t.co/EnItEqWiSq,"Wigan, England",[],https://twitter.com/user/status/1480677122867974148,Doctor Protest,1,0
2022-01-10 22:22:10,1480666303132221444,@haikucreep I guess if I told the doctor? Good to know so I never mention a protest to my Dr.,"St Louis, MO",[],https://twitter.com/user/status/1480666303132221444,Doctor Protest,0,3
2022-01-10 21:38:43,1480655367600103425,@owenrumney @regwag2003 “You know technically I may have only played an ‘angry doctor at protest’ in a Funny or Die… https://t.co/nLOPVcyrhz,Burbank USA,[],https://twitter.com/user/status/1480655367600103425,Doctor Protest,0,5
