Datetime,Tweet Id,Text,location,Media,TweetUrl,Hashtags,Retweets Counts,Like Counts,clean_text,clean_text1
2022-01-15 19:25:16,1482433724218290179,"Thousands Protest In Vienna Against Mandatory Vaccination 

Doctor Eva Raunig vaccinates a person with a dose of th… https://t.co/58SMsuH0bo","Sugar Land, Texas",[],https://twitter.com/user/status/1482433724218290179,Doctor Protest,0,1,thousands protest in vienna against mandatory vaccination doctor eva raunig vaccinates a person with a dose of th...,thousand protest vienna mandatori vaccin doctor eva raunig vaccin person dose th
2022-01-15 15:00:01,1482366971937132547,Laffay has told state lawmakers that vaccines kill; she stormed a Big Lots with a small and barefaced crowd to prot… https://t.co/OLCnmhli5s,,[],https://twitter.com/user/status/1482366971937132547,Doctor Protest,3,8,laffay has told state lawmakers that vaccines kill  she stormed a big lots with a small and barefaced crowd to prot...,laffay told state lawmak vaccin kill storm big lot small barefac crowd prot
2022-01-15 14:14:43,1482355570980290569,THE DOCTOR SLAPPED YOUNGRO WTF I AM ABOUT TO PROTEST!!!,블랙핑크 | ジェニ,[],https://twitter.com/user/status/1482355570980290569,Doctor Protest,0,0,the doctor slapped youngro wtf i am about to protest ,doctor slap youngro wtf protest
2022-01-15 13:24:31,1482342937157857280,"55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS funded by them… https://t.co/SHnPLrtVHW",,[],https://twitter.com/user/status/1482342937157857280,Doctor Protest,4,4,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations funded by them...,55 medic colleg seat r reserv base capit protest ever associ fund
2022-01-15 13:24:18,1482342883781124096,"@DocGadkari 55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS fu… https://t.co/kH3R7IpHpw",,[],https://twitter.com/user/status/1482342883781124096,Doctor Protest,3,3,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations fu...,55 medic colleg seat r reserv base capit protest ever associ fu
2022-01-15 09:55:36,1482290361762742275,@RKMittal9 @drsg87 @YoDha_16 @HaryaxPathak @Bethechange901 @RL_Virani @ngadhiya97 @drharshaljoshi @JatinkumbhaniM… https://t.co/kRFA0x83xs,,[],https://twitter.com/user/status/1482290361762742275,Doctor Protest,3,3, 16  virani ...,16 virani
2022-01-15 09:31:25,1482284275093233665,@drsg87 @YoDha_16 @HaryaxPathak @Bethechange901 @RL_Virani @ngadhiya97 @drharshaljoshi @JatinkumbhaniM… https://t.co/MMgTGOFNPb,,[],https://twitter.com/user/status/1482284275093233665,Doctor Protest,3,4, 16  virani ...,16 virani
2022-01-15 09:09:37,1482278789019095042,"Indeed

55% medical colleges, not just seats, r reserved BASED ON CAPITATION
No protest ever!

ASSOCIATIONS funded… https://t.co/gWIExnQJqm",,[],https://twitter.com/user/status/1482278789019095042,Doctor Protest,3,3,indeed 55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations funded...,inde 55 medic colleg seat r reserv base capit protest ever associ fund
2022-01-15 09:08:55,1482278614410280965,@YoDha_16 @HaryaxPathak @Bethechange901 @RL_Virani @ngadhiya97 @drharshaljoshi @JatinkumbhaniM @SAVEMERITTRUST… https://t.co/eMqAmYH7Fx,,[],https://twitter.com/user/status/1482278614410280965,Doctor Protest,2,2, 16  virani ...,16 virani
2022-01-15 08:55:15,1482275174657445893,"@KhydroSays This one no be protest matter, this is character",Lagos Nigeria,[],https://twitter.com/user/status/1482275174657445893,Doctor Protest,0,30,this one no be protest matter  this is character,one protest matter charact
